business_id,labels
003sg,1 2 3 6 7 8 9 
00er5,3 6 7 9 
00kad,1 6 7 9 
00mc6,1 6 7 9 
00q7x,2 6 7 9 
00v0t,2 3 6 7 8 9 
00y7p,2 3 6 7 9 
019fg,2 3 6 7 9 
019r1,2 3 6 7 8 9 
01i5j,2 3 6 7 9 
01is9,1 6 7 9 
01mrb,9
01pyb,1 6 7 9 
01s0p,2 3 6 7 9 
01xsq,2 3 6 7 8 9 
021oz,2 3 6 7 9 
026nc,2 3 6 7 8 9 
02bwy,2 3 6 7 9 
02d9t,1 6 7 9 
02eos,2 3 6 7 9 
02fio,3 6 7 9 
02pxt,2 3 6 7 8 9 
02qrp,2 3 6 7 9 
02rfd,2 3 6 7 8 9 
0357u,2 3 6 7 9 
035x6,2 3 6 7 8 9 
038l4,3 6 7 9 
03bbu,1 6 7 8 9 
03ked,3 6 7 9 
03m8y,3 7 9 
03vx8,2 3 6 7 9 
03yz9,3 6 7 9 
040nh,2 3 6 7 9 
042hy,2 3 6 7 8 9 
044sl,2 3 6 7 9 
045qe,2 3 6 7 
04944,1 2 3
04cy7,2 3 7 9 
04ilw,2 3 6 7 9 
04imx,2 3 6 7 9 
04kgm,2 3 6 7 9 
04ud9,3 6 7 9 
04wn2,2 3 6 7 8 9 
04zgs,2 3 6 7 8 9 
050l6,3 6 7 9 
0573e,1 6 7 9 
057qc,2 3 6 7 9 
05fb2,2 3 6 7 9 
05h9r,2 3 6 7 9 
05ihx,2 3 6 7 9 
05jhx,2 3 6 7 9 
05rwc,3 6 7 9 
06cko,2 3 6 7 
06fzh,3 6 7 9 
06gbm,2 3 6 7 9 
06ml0,2 3 6 7 9 
06p0g,2 3 6 7 8 9 
06ums,2 3 6 7 9 
06vhp,2 3 7 9 
0707d,2 3 6 7 9 
070ll,2 3 6 7 9 
077lb,1 2 3 6 7 8 9 
07bbs,2 3 6 7 9 
07gmf,3 6 7 9 
07nri,2 3 6 7 8 9 
07o52,2 3 6 7 8 9 
084gg,3 6 7 9 
084v2,3 6 7 9 
08dzw,2 3 6 7 9 
08h8f,1 6 7 9 
08ni5,3 6 7 9 
08oeq,1 3 9 
08wfz,3 6 7 9 
0916a,2 3 6 7 9 
092lt,2 3 6 7 9 
098ef,2 3 6 7 9 
098un,3 6 7 8 9 
09ckq,2 3 6 7 8 9 
