business_id,labels
003sg,2 3 5 6 7 8 
00er5,3 4 5 6 7 8 9 
00kad,2 3 4 5 6 7 8 
00mc6,7 9 
00q7x,2 3 6 7 9 
00v0t,2 3 6 7 
00y7p,3 4 5 6 7 8 
019fg,2 3 6 7 
019r1,2 3 4 6 7 
01i5j,2 3 4 5 6 7 8 
01is9,2 4 5 6 7 8 9 
01mrb,2 3 4 5 6 7 8 
01pyb,3 4 5 6 7 8 
01s0p,2 3 4 5 6 7 
01xsq,2 3 4 5 6 7 8 
021oz,2 3 4 5 6 7 8 
026nc,3 4 5 6 7 8 
02bwy,2 3 4 5 6 7 8 
02d9t,2 3 4 5 6 7 
02eos,2 3 4 5 6 7 8 
02fio,2 3 4 6 9 
02pxt,1 2 3 4 6 7 
02qrp,2 3 4 5 6 7 8 
02rfd,3 4 5 6 7 8 
0357u,2 3 6 7 
035x6,3 4 5 6 7 
038l4,2 3 6 7 9 
03bbu,1 2 3 4 6 7 
03ked,2 3 4 5 6 7 8 
03m8y,2 3 4 5 6 7 8 
03vx8,1 6 9 
03yz9,2 3 4 5 6 7 8 
040nh,2 3 6 7 9 
042hy,3 4 6 7 
044sl,2 3 4 5 6 7 8 
045qe,2 3 4 5 6 7 8 
04944,1 2 3
04cy7,2 3 4 5 6 7 8 
04ilw,2 3 4 5 6 7 8 
04imx,2 3 4 5 6 7 8 
04kgm,2 3 4 5 6 7 8 
04ud9,2 3 4 5 6 7 8 
04wn2,2 3 4 5 6 7 8 
04zgs,2 3 6 7 
050l6,2 3 4 5 6 7 8 
0573e,4 5 7 8 9 
057qc,2 3 4 5 6 7 8 
05fb2,2 3 4 5 6 7 8 
05h9r,2 3 4 5 6 7 8 
05ihx,2 3 4 5 6 7 8 
05jhx,2 3 4 5 6 7 8 
05rwc,2 3 4 5 6 7 8 
06cko,2 3 4 5 6 7 8 
06fzh,2 3 4 5 6 7 8 
06gbm,2 3 4 5 6 7 8 
06ml0,2 3 4 5 6 7 8 
06p0g,3 4 5 6 7 8 
06ums,3 4 6 7 9 
06vhp,3 4 5 6 7 8 
0707d,1 2 3 4 6 7 
070ll,3 4 6 7 
077lb,2 3 4 5 6 7 
07bbs,2 3 4 6 7 
07gmf,2 3 4 5 6 7 8 
07nri,2 6 
07o52,2 3 6 7 9 
084gg,2 3 6 7 9 
084v2,2 3 4 6 7 9 
08dzw,3 4 6 7 
08h8f,2 3 4 5 6 7 8 
08ni5,2 3 4 5 6 7 8 
08oeq,2 3 4 5 6 7 8 
08wfz,3 4 5 6 7 8 
0916a,2 3 4 5 6 7 8 
092lt,2 3 4 5 6 7 8 
098ef,2 3 6 7 
098un,2 3 4 6 7 
09ckq,2 3 4 5 6 7 8 9 
09ejq,2 3 4 5 6 7 8 
09iat,2 3 4 5 6 7 8 
09kll,2 3 4 5 6 7 8 
09pmi,2 3 4 5 6 7 8 
09ptq,2 3 4 5 6 7 8 
09w5k,2 3 5 6 7 8 
0a1ko,2 3 6 7 9 
0a45c,2 3 4 5 6 7 8 
